
--- Simulation Session Started at 2026-09-23 20:01:37.891328 ---
=== RIGOROUS COLLATZ ENGINE INITIALIZED ===

=== RIGOROUS EXPONENTIAL SCALE COLLATZ ENGINE ===
Running with strict modular math and exponent scale tracking...
Press Ctrl+C to stop anytime.
Elapsed: 0s | Steps: 6000000 | Audits: 0 | Exp Scale 2^: ~6.91886 bits
Elapsed: 0s | Steps: 9000000 | Audits: 0 | Exp Scale 2^: ~18.8047 bits
Elapsed: 0s | Steps: 13000000 | Audits: 0 | Exp Scale 2^: ~31.4856 bits
Elapsed: 0s | Steps: 14000000 | Audits: 0 | Exp Scale 2^: ~13.861 bits
Elapsed: 0s | Steps: 16000000 | Audits: 0 | Exp Scale 2^: ~11.6022 bits
Elapsed: 0s | Steps: 28000000 | Audits: 0 | Exp Scale 2^: ~36.8933 bits
Elapsed: 0s | Steps: 33000000 | Audits: 0 | Exp Scale 2^: ~39.9799 bits
Elapsed: 0s | Steps: 41000000 | Audits: 0 | Exp Scale 2^: ~19.3187 bits
Elapsed: 0s | Steps: 43000000 | Audits: 0 | Exp Scale 2^: ~34.5122 bits
Elapsed: 0s | Steps: 48000000 | Audits: 0 | Exp Scale 2^: ~10.8098 bits
Elapsed: 0s | Steps: 50000000 | Audits: 0 | Exp Scale 2^: ~37.7298 bits
Elapsed: 0s | Steps: 51000000 | Audits: 0 | Exp Scale 2^: ~6.96578 bits
Elapsed: 0s | Steps: 54000000 | Audits: 0 | Exp Scale 2^: ~26.3701 bits
Elapsed: 0s | Steps: 63000000 | Audits: 0 | Exp Scale 2^: ~22.3309 bits
Elapsed: 0s | Steps: 85000000 | Audits: 0 | Exp Scale 2^: ~16.0444 bits
Elapsed: 0s | Steps: 88000000 | Audits: 0 | Exp Scale 2^: ~6.6865 bits
Elapsed: 0s | Steps: 91000000 | Audits: 0 | Exp Scale 2^: ~9.94105 bits
Elapsed: 0s | Steps: 97000000 | Audits: 0 | Exp Scale 2^: ~26.3851 bits
Elapsed: 0s | Steps: 100000000 | Audits: 0 | Exp Scale 2^: ~28.7884 bits
Elapsed: 0s | Steps: 105000000 | Audits: 0 | Exp Scale 2^: ~36.3099 bits
Elapsed: 0s | Steps: 106000000 | Audits: 0 | Exp Scale 2^: ~2.32193 bits
Elapsed: 0s | Steps: 108000000 | Audits: 0 | Exp Scale 2^: ~35.1806 bits
Elapsed: 0s | Steps: 109000000 | Audits: 0 | Exp Scale 2^: ~37.5338 bits
Elapsed: 0s | Steps: 128000000 | Audits: 0 | Exp Scale 2^: ~31.5957 bits
Elapsed: 0s | Steps: 131000000 | Audits: 0 | Exp Scale 2^: ~5.93074 bits
Elapsed: 0s | Steps: 134000000 | Audits: 0 | Exp Scale 2^: ~20.7986 bits
Elapsed: 0s | Steps: 135000000 | Audits: 0 | Exp Scale 2^: ~29.6921 bits
Elapsed: 0s | Steps: 138000000 | Audits: 0 | Exp Scale 2^: ~32.7042 bits
Elapsed: 0s | Steps: 147000000 | Audits: 0 | Exp Scale 2^: ~2.32193 bits
Elapsed: 0s | Steps: 149000000 | Audits: 0 | Exp Scale 2^: ~24.8735 bits
Elapsed: 0s | Steps: 152000000 | Audits: 0 | Exp Scale 2^: ~22.4511 bits
Elapsed: 0s | Steps: 157000000 | Audits: 0 | Exp Scale 2^: ~19.746 bits
Elapsed: 0s | Steps: 159000000 | Audits: 0 | Exp Scale 2^: ~28.268 bits
Elapsed: 0s | Steps: 160000000 | Audits: 0 | Exp Scale 2^: ~34.3161 bits
Elapsed: 1s | Steps: 170000000 | Audits: 0 | Exp Scale 2^: ~8.75822 bits
Elapsed: 1s | Steps: 172000000 | Audits: 0 | Exp Scale 2^: ~34.5513 bits
Elapsed: 1s | Steps: 174000000 | Audits: 0 | Exp Scale 2^: ~17.777 bits
